intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5
8643000,0.021162609051220714,0.9059748427672956,0.021162609051220714,0.008249502427487655,3.6677079717690617,3.0,3.2455820378871767,"NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",outputs/scaled_1000/refs/7.sig,ee9cb05018009af43429e83e7d502a0a
7283000,0.017832613874816668,0.9983550376970528,0.017832613874816668,0.022726468359384758,11.990937800356996,9.0,15.495200861727254,"NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome",outputs/scaled_1000/refs/35.sig,264cfdad44548ad96c4a24b6a514a877
7039000,0.01723517356375594,0.9998579545454546,0.01723517356375594,0.08685763180466843,47.416394374200884,46.0,15.049034539072823,BX119912.1 Rhodopirellula baltica SH 1 complete genome,outputs/scaled_1000/refs/43.sig,7141c3fbf206734950d13cadba0bf46c
6576000,0.016101506088259564,0.9954586739327884,0.016101506088259564,0.014068134123897638,8.220650851581508,8.0,4.028540885835669,"NC_009972.1 Herpetosiphon aurantiacus DSM 785, complete genome",outputs/scaled_1000/refs/24.sig,5165e0f27ae96c8a78da00c2d30a8e36
6248000,0.015298389604538588,0.9974457215836526,0.015298389604538588,0.014182378021868208,8.72247119078105,8.0,4.850597021031291,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome",outputs/scaled_1000/refs/4.sig,56ceec3045e833db30db8ad16969ff16
5544000,0.013574627395576494,0.9769122312301727,0.013572178869711491,0.011260180458516194,7.806061699440736,7.0,5.171399516739671,"CP000850.1 Salinispora arenicola CNS-205, complete genome",outputs/scaled_1000/refs/45.sig,5519d11c0ae28e167759d1c2b2e1b353
5395000,0.01320979704169105,0.9948368061958326,0.01320979704169105,0.009763038898095483,6.953846153846154,6.0,6.014432867970123,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome",outputs/scaled_1000/refs/32.sig,56bdd31d168788f6b31dcd0751089a62
5060000,0.012389540876915054,0.9774000386324126,0.012389540876915054,0.007926808957137979,6.019762845849803,5.0,6.914926624371206,"NC_009665.1 Shewanella baltica OS185, complete genome",outputs/scaled_1000/refs/47.sig,09a08691ce52952152f0e866a59f6261
5050000,0.012365055618265024,0.9998019801980198,0.012362607092400021,0.01665670827677523,12.676965735789265,12.0,5.244471593641125,"CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome",outputs/scaled_1000/refs/14.sig,dfa50aeabf6119ce79f0df1cf8158008
4953000,0.012127548609359735,0.9341012084592145,0.012112857454169717,0.007312910653464687,5.680412371134021,5.0,4.087029085195116,"NZ_JGWU01000001.1 Bordetella bronchiseptica D989 ctg7180000008197, whole genome shotgun sequence",outputs/scaled_1000/refs/6.sig,a86d20c0c746f8cd8628aaabf8e45221
4978000,0.012188761755984809,0.9866,0.012078578092059675,0.00889020510813354,6.925197648489763,6.0,4.604913643485136,"CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome",outputs/scaled_1000/refs/5.sig,960cc77fc7b96d595712107aaa1524b5
4984000,0.012203452911174827,0.9251274010192082,0.011557042082814042,0.009053893973335109,7.370974576271187,7.0,4.457697197481944,"CP000667.1 Salinispora tropica CNB-440, complete genome",outputs/scaled_1000/refs/46.sig,e41c93cc239f49bd10ebd38dfd343075
4695000,0.011495828936188968,0.9742096505823628,0.011468895151673935,0.011288546255506607,9.260888129803586,8.0,6.255982528812481,"CP001013.1 Leptothrix cholodnii SP-6, complete genome",outputs/scaled_1000/refs/27.sig,0f774696d30402cc9416e4339e29d022
4629000,0.01133422622909877,1.0,0.01133422622909877,0.03695464803510905,30.67703607690646,30.0,10.915731827291053,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",outputs/scaled_1000/refs/21.sig,f3b3f1fde1daf747380e5c34717b290f
4380000,0.01072454328871303,0.9571584699453551,0.010722094762848028,0.0056502585711549515,4.958209636903403,4.0,5.078316822537686,"NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome",outputs/scaled_1000/refs/44.sig,357c0e8c59953384de1f6c7605a60317
4167000,0.010203007279467397,0.9995201535508638,0.010200558753602394,0.03018198870781043,27.839414306289004,27.0,9.66572317800103,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome",outputs/scaled_1000/refs/0.sig,324074c7287ed934af4fd0a6a459aa30
3892000,0.009529662666591578,0.9853164556962025,0.009529662666591578,0.009752889667979648,9.6292394655704,8.0,8.204258923151658,"NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence",outputs/scaled_1000/refs/23.sig,f299f676fc8922337c2c5d4c7d12e93a
3859000,0.00944886131304648,0.9987043275459964,0.009436618683721466,0.04242534330421459,42.30046704722366,36.0,23.827437377246635,"NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472, whole genome shotgun sequence",outputs/scaled_1000/refs/60.sig,5f3cd303f3759ada3b1da0fe9f63c1f8
